Survey Response,Journal Name,Other Journal,Date,Professional Status,Gender (optional),Race/Ethnic Background (optional),Review Time in Months,Initial Verdict,Sets of Reviewer Comments Initially Provided,Quality of Referee Comments,Overall Experience with Editors,Revise and Resubmit Verdict (also Conditional Acceptance),Time from Acceptance to Publication,Field 13,Journals,Acceptances,Rejections,Conditional Acceptances,Revise and Resubmits,Overall Acceptance,Initial withdrawals,Revise and Resubmit Withdrawals
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,4.00,Reject,1.0,2.0,,Reject,18.0,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,5.50,Revise and Resubmit,1.0,4.0,,Accept,16.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,1.75,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.50,Reject,,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,4.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,5.50,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,4.00,Conditional Acceptance,1.0,4.0,,Accept,18.0,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Accept,1.0,4.0,,Accept,16.0,,,Accept,,,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,4.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,1.75,Reject,1.0,4.0,,Reject,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,Reject,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,4.50,Reject,1.0,4.0,,Reject,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,6.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,6.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,5.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,5.00,Conditional Acceptance,1.0,4.0,,Accept,,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,6.00,Reject,1.0,4.0,,Reject,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.50,Accept,1.0,2.0,,Accept,,,,Accept,,,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,7.50,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.50,Reject,,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,7.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.25,Reject,1.0,,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,5.00,Revise and Resubmit,,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.50,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.50,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.50,Conditional Acceptance,2.0,4.0,,Accept,,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Reject,,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,1.50,Reject,1.0,,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.00,Conditional Acceptance,2.0,4.0,,Accept,,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,4.00,Conditional Acceptance,,4.0,,Accept,,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,1.25,Reject,1.0,,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,1.00,Conditional Acceptance,,4.0,,Accept,,,,,,Conditional Acceptance,,Accept,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,1.00,Reject,1.0,,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,3.00,Reject,,4.0,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,1.25,Reject,,,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Reject,1.0,,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,5.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,3.50,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,3.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,4.00,Revise and Resubmit,2.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,4.00,Revise and Resubmit,,,,,,,,,,,Revise and Resubmit,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,4.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,6.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,8.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,8.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,6.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,0.50,Reject,1.0,4.0,,Reject,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,0.50,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,0.50,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Reject,1.0,4.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,2.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,3.00,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Revise and Resubmit,1.0,4.0,,,,,,,,,Revise and Resubmit,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,10.00,Accept,1.0,4.0,,Accept,,,,Accept,,,,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.50,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,3.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,5.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,3.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,1.50,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Phil Wiki Import,,,3.00,Revise and Resubmit,1.0,4.0,,Accept,,,,,,,Revise and Resubmit,Accept,,
Journal of the History of Philosophy,Journal of the History of Philosophy,,,Faculty (Tenure-track but non-tenured),,,1.00,Reject,,,4.0,,,,,,Reject,,,,,
Philosophical Psychology,Philosophical Psychology,,,Graduate Student,Female,White,4.50,Reject,3.0,5.0,5.0,,,,,,Reject,,,,,
Journal of Medical Ethics,Journal of Medical Ethics,,,Graduate Student,male,Caucasian,1.75,Reject,2.0,2.0,3.0,,,,,,Reject,,,,,
Journal of Medical Ethics,Journal of Medical Ethics,,,Graduate Student,male,Caucasian,2.00,Revise and Resubmit,2.0,3.0,2.0,Withdraw,,,,,,,Revise and Resubmit,,,Withdraw
Bioethics,Bioethics,,,Graduate Student,male,Caucasian,2.00,Reject,1.0,2.0,,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Faculty (Non-tenure-track position),Male,White,3.50,Reject,0.0,,,,,,,,Reject,,,,,
Law and Philosophy,Law and Philosophy,,,Graduate Student,Male,,4.00,Reject,1.0,2.0,5.0,,,,,,Reject,,,,,
Other,Other,Criminal Law and Philosophy,,Graduate Student,Male,,1.00,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
Analytic Philosophy,Analytic Philosophy,,,Faculty (Non-tenure-track position),Male,Caucasian ,6.00,Conditional Acceptance,1.0,5.0,2.0,accept,6.0,,,,,Conditional Acceptance,,,,
Synthese,Synthese,,,Faculty (Non-tenure-track position),,,9.00,Revise and Resubmit,3.0,3.0,4.0,Revise and Resubmit Verdict (also Conditional Acceptance) ,1.5,,,,,,Revise and Resubmit,,,
Analysis,Analysis,,,Faculty (Non-tenure-track position),,,0.75,Revise and Resubmit,1.0,4.0,5.0,Accept,1.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Review,Philosophical Review,,,Faculty (Non-tenure-track position),,,8.00,Revise and Resubmit,2.0,4.0,1.0,Reject,,,,,,,Revise and Resubmit,,,
Journal of Applied Philosophy,Journal of Applied Philosophy,,,Faculty (Non-tenure-track position),Male,White,3.00,Revise and Resubmit,2.0,5.0,5.0,Revise and Resubmit Verdict (also Conditional Acceptance) ,11.0,,,,,,Revise and Resubmit,,,
Other,Other,Moral Philosophy and Politics,,Faculty (Non-tenure-track position),Male,White,5.00,Revise and Resubmit,2.0,4.0,5.0,Revise and Resubmit Verdict (also Conditional Acceptance) ,2.5,,,,,,Revise and Resubmit,,,
Other,Other,Philosophy and Technology,,Faculty (Non-tenure-track position),Male,White,7.00,Reject,2.0,5.0,5.0,,,,,,Reject,,,,,
Other,Other,Philosophy and Technology,,Faculty (Non-tenure-track position),Male,White,2.50,Accept,0.0,,5.0,,0.5,,,Accept,,,,,,
Other,Other,De Ethica,,Faculty (Non-tenure-track position),Male,White,3.00,Revise and Resubmit,2.0,3.0,5.0,Accept,3.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Review,Philosophical Review,,,Graduate Student,Male,Caucasian,0.50,Reject,,,5.0,,,,,,Reject,,,,,
Journal of the History of Philosophy,Journal of the History of Philosophy,,,Faculty (Non-tenure-track position),Male,White,2.00,Revise and Resubmit,2.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Graduate Student,Male,White,5.00,Revise and Resubmit,1.0,5.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Philosophical Review,Philosophical Review,,,Graduate Student,M,,6.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Analysis,Analysis,,,Graduate Student,M,,0.50,Reject,0.0,,3.0,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Graduate Student,M,,6.00,Reject,1.0,5.0,5.0,,,,,,Reject,,,,,
Philosophical Explorations,Philosophical Explorations,,,Graduate Student,M,,6.00,Reject,1.0,1.0,1.0,,,,,,Reject,,,,,
Dialogue,Dialogue,,,Graduate Student,M,,6.00,Reject,2.0,2.0,2.0,,,,,,Reject,,,,,
Other,Other,Estetika: The Central European Journal of Aesthetics,,Faculty (Non-tenure-track position),Male,White,2.00,Accept,1.0,3.0,5.0,,4.0,,,Accept,,,,,,
British Journal of Aesthetics,British Journal of Aesthetics,,,Faculty (Non-tenure-track position),Male,White,2.00,Revise and Resubmit,2.0,5.0,5.0,Revise and Resubmit Verdict (also Conditional Acceptance) ,,,,,,,Revise and Resubmit,,,
Philosophical Review,Philosophical Review,,,Faculty (Tenured),,,0.40,Reject,,,,,,,,,Reject,,,,,
Analysis,Analysis,,,Faculty (Tenure-track but non-tenured),male,white,3.00,Revise and Resubmit,1.0,3.5,5.0,Accept,1.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Psychology,Philosophical Psychology,,,Faculty (Non-tenure-track position),male,white,6.00,Accept,3.0,4.0,5.0,,2.0,,,Accept,,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Faculty (Non-tenure-track position),male,white,5.00,Conditional Acceptance,1.0,4.0,5.0,Accept,3.0,,,,,Conditional Acceptance,,Accept,,
Philosophical Review,Philosophical Review,,,Faculty (Non-tenure-track position),male,white,6.00,Reject,1.0,2.0,2.0,,,,,,Reject,,,,,
Metaphilosophy,Metaphilosophy,,,Faculty (Tenure-track but non-tenured),Male,Latino,7.20,Revise and Resubmit,2.0,3.0,1.0,,,,,,,,Revise and Resubmit,,,
Philosophia: Philosophical Quarterly of Israel,Philosophia: Philosophical Quarterly of Israel,,,Faculty (Tenure-track but non-tenured),Male,"Hispanic, Latino",10.00,Reject,1.0,3.0,1.0,,,,,,Reject,,,,,
Synthese,Synthese,,,Other,male,white,3.00,Reject,3.0,3.0,,,,,,,Reject,,,,,
Inquiry,Inquiry,,,Faculty (Tenure-track but non-tenured),male,white,0.25,Accept,,,5.0,,1.0,,,Accept,,,,,,
Synthese,Synthese,,,Other,male,white,5.00,Revise and Resubmit,2.0,4.0,3.0,Revise and Resubmit Verdict (also Conditional Acceptance) ,1.0,,,,,,Revise and Resubmit,,,
Synthese,Synthese,,,Faculty (Tenure-track but non-tenured),,,,Revise and Resubmit,2.0,3.0,5.0,Revise and Resubmit Verdict (also Conditional Acceptance) ,84.0,,,,,,Revise and Resubmit,,,
Other,Other,Informal Logic,,Graduate Student,,,4.00,Revise and Resubmit,2.0,4.5,5.0,,,,,,,,Revise and Resubmit,,,
Philosophy and Public Affairs,Philosophy and Public Affairs,,,Other,Male,White,2.00,Reject,,,3.0,,,,,,Reject,,,,,
Ethics,Ethics,,,Other,Male,White,1.25,Reject,,,4.0,,,,,,Reject,,,,,
Analysis,Analysis,,,Faculty (Tenured),,,6.00,Revise and Resubmit,2.0,5.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Hypatia,Hypatia,,,Faculty (Tenure-track but non-tenured),female,white,3.00,Conditional Acceptance,2.0,5.0,5.0,Accept,2.0,,,,,Conditional Acceptance,,Accept,,
Other,Other,Diametros,,Faculty (Tenure-track but non-tenured),M,,2.00,Accept,2.0,4.0,5.0,,3.0,,,Accept,,,,,,
Analysis,Analysis,,,Faculty (Non-tenure-track position),Female,non-native English speaker,5.00,Reject,2.0,1.0,2.0,,,,,,Reject,,,,,
Journal of Philosophy,Journal of Philosophy,,,Faculty (Non-tenure-track position),Female,non native English speaker,6.00,Reject,0.0,1.0,1.0,,,,,,Reject,,,,,
Ethical Theory and Moral Practice,Ethical Theory and Moral Practice,,,Faculty (Tenured),Male,White,4.00,Revise and Resubmit,2.0,4.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Other,Other,Jurisprudence,,Faculty (Tenured),Male,White,3.00,Revise and Resubmit,2.0,3.0,5.0,Accept,12.0,,,,,,Revise and Resubmit,Accept,,
Philosophical Studies,Philosophical Studies,,,Faculty (Non-tenure-track position),,,3.00,Reject,1.0,1.0,1.0,,,,,,Reject,,,,,
Other,Other,HOPOS: The International Journal of the Society for the History of the Philosophy of Science,,Faculty (Tenured),,,3.50,Revise and Resubmit,2.0,3.0,4.0,Revise and Resubmit Verdict (also Conditional Acceptance) ,7.0,,,,,,Revise and Resubmit,,,
Legal Theory,Legal Theory,,,Graduate Student,Male,White,7.50,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Journal of the History of Philosophy,Journal of the History of Philosophy,,,Faculty (Tenure-track but non-tenured),male,white,2.00,Reject,2.0,2.0,5.0,,,,,,Reject,,,,,
Acta Analytica,Acta Analytica,,,Faculty (Non-tenure-track position),,,7.00,Reject,1.0,1.0,1.0,,,,,,Reject,,,,,
Nous,Nous,,,Graduate Student,Female,White,3.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Faculty (Non-tenure-track position),Female,White,3.00,Reject,,,,,,,,,Reject,,,,,
Philosophers’ Imprint,Philosophers’ Imprint,,,Faculty (Tenure-track but non-tenured),Woman,White,3.00,Reject,,,,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Faculty (Tenure-track but non-tenured),Woman,White,3.00,Reject,,,,,,,,,Reject,,,,,
Philosophy and Phenomenological Research,Philosophy and Phenomenological Research,,,Faculty (Tenure-track but non-tenured),Woman,White,2.00,Reject,,,,,,,,,Reject,,,,,
Nous,Nous,,,Graduate Student,Male,White,3.00,Revise and Resubmit,2.0,4.0,4.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Apeiron,Apeiron,,,Faculty (Tenure-track but non-tenured),,,4.00,Conditional Acceptance,1.0,4.0,4.0,Accept,4.0,,,,,Conditional Acceptance,,Accept,,
Ancient Philosophy,Ancient Philosophy,,,Faculty (Tenure-track but non-tenured),,,8.00,Reject,1.0,1.0,4.0,,,,,,Reject,,,,,
Other,Other,"Meta: Research in Hermeneutics, Phenomenology, and Practical Philosophy",,Other,,,7.00,Reject,2.0,1.0,1.0,,,,,,Reject,,,,,
Apeiron,Apeiron,,,Faculty (Tenure-track but non-tenured),,,,Revise and Resubmit,1.0,5.0,4.0,Reject,,,,,,,Revise and Resubmit,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Faculty (Tenure-track but non-tenured),Male,White,1.50,Reject,1.0,4.0,5.0,,,,,,Reject,,,,,
Bioethics,Bioethics,,,Graduate Student,Male,,2.50,Reject,1.0,3.0,5.0,,,,,,Reject,,,,,
Ethics,Ethics,,,Faculty (Tenure-track but non-tenured),Male,,2.00,Reject,,4.0,4.0,,,,,,Reject,,,,,
Mind,Mind,,,Faculty (Tenure-track but non-tenured),male,,75.00,Reject,0.0,,3.0,,,,,,Reject,,,,,
Oxford Studies in Ancient Philosophy,Oxford Studies in Ancient Philosophy,,,Graduate Student,,,2.00,Reject,1.0,3.5,5.0,,,,,,Reject,,,,,
Phronesis,Phronesis,,,Graduate Student,,,2.00,Reject,1.0,3.0,4.5,,,,,,Reject,,,,,
Journal of Moral Philosophy,Journal of Moral Philosophy,,,Faculty (Non-tenure-track position),male,white,2.00,Reject,,,4.0,,,,,,Reject,,,,,
Journal of Ethics,Journal of Ethics,,,Faculty (Tenured),,,0.50,Reject,,,,,,,,,Reject,,,,,
American Philosophical Quarterly,American Philosophical Quarterly,,,Faculty (Tenured),,,4.50,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Nous,Nous,,,Faculty (Non-tenure-track position),Male,White European,2.50,Reject,0.0,,2.0,,,,,,Reject,,,,,
American Philosophical Quarterly,American Philosophical Quarterly,,,Faculty (Tenure-track but non-tenured),male,Chinese,9.00,Revise and Resubmit,2.0,5.0,4.0,,,,,,,,Revise and Resubmit,,,
Utilitas,Utilitas,,,Graduate Student,Female,White,2.25,Reject,2.0,3.5,4.0,,,,,,Reject,,,,,
Other,Other,Ergo,,Graduate Student,Female,White,0.06,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Other,Other,Ergo,,Graduate Student,Female,White,1.25,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Faculty (Tenure-track but non-tenured),male,Mexican,6.00,Reject,1.0,5.0,1.0,,,,,,Reject,,,,,
Philosophical Studies,Philosophical Studies,,,Faculty (Tenure-track but non-tenured),female,white,3.00,Reject,1.0,2.0,3.0,,,,,,Reject,,,,,
Theoria,Theoria,,,Faculty (Non-tenure-track position),,,1.50,Revise and Resubmit,2.0,4.0,,,,,,,,,Revise and Resubmit,,,
European Journal of Philosophy,European Journal of Philosophy,,,Faculty (Tenured),,,2.50,Accept,1.0,5.0,5.0,,,,,Accept,,,,,,
American Philosophical Quarterly,American Philosophical Quarterly,,,Faculty (Tenured),Male,Pacific Islander,0.25,Reject,1.0,1.0,3.0,,,,,,Reject,,,,,
Environmental Ethics,Environmental Ethics,,,Faculty (Non-tenure-track position),Male,Caucasian,18.00,Reject,0.0,1.0,1.0,,,,,,Reject,,,,,
Metaphilosophy,Metaphilosophy,,,Faculty (Non-tenure-track position),Male,Caucasian,20.00,Reject,0.0,1.0,,,,,,,Reject,,,,,
Philosophy and Public Affairs,Philosophy and Public Affairs,,,Faculty (Tenure-track but non-tenured),female,,2.00,Reject,,,,,,,,,Reject,,,,,
American Philosophical Quarterly,American Philosophical Quarterly,,,Graduate Student,,,2.50,Reject,2.0,2.0,5.0,,,,,,Reject,,,,,
Journal of Ethics,Journal of Ethics,,,Faculty (Non-tenure-track position),Male,White,3.00,Reject,,,1.0,,,,,,Reject,,,,,
Journal of Ethics & Social Philosophy,Journal of Ethics & Social Philosophy,,,Graduate Student,Male,White,3.00,Reject,2.0,4.0,5.0,,,,,,Reject,,,,,
Social Theory and Practice,Social Theory and Practice,,,Graduate Student,Male,White,3.00,Reject,2.0,3.0,4.0,,,,,,Reject,,,,,
Journal of the History of Philosophy,Journal of the History of Philosophy,,,Faculty (Non-tenure-track position),,,3.00,Reject,2.0,2.0,2.0,,,,,,Reject,,,,,
Acta Analytica,Acta Analytica,,,Faculty (Non-tenure-track position),Male,Latin,5.00,Conditional Acceptance,1.0,4.0,4.0,Accept,1.0,,,,,Conditional Acceptance,,Accept,,
Utilitas,Utilitas,,,Graduate Student,,male,3.50,Conditional Acceptance,2.0,4.0,4.0,Accept,4.0,,,,,Conditional Acceptance,,Accept,,
Philosophy of the Social Sciences,Philosophy of the Social Sciences,,,Graduate Student,male,,7.50,Accept,2.0,3.0,2.5,,2.0,,,Accept,,,,,,
Analysis,Analysis,,,Graduate Student,Male,White,1.00,Revise and Resubmit,2.0,4.5,4.5,Accept,6.0,,,,,,Revise and Resubmit,Accept,,
Other,Other,Ergo,,Faculty (Tenure-track but non-tenured),Male,White,0.50,Reject,1.0,5.0,5.0,,,,,,Reject,,,,,
Australasian Journal of Philosophy,Australasian Journal of Philosophy,,,Graduate Student,,,1.50,Reject,1.0,3.0,,,,,,,Reject,,,,,
Philosophical Quarterly,Philosophical Quarterly,,,Faculty (Tenure-track but non-tenured),Female,White,3.00,Revise and Resubmit,2.0,2.0,5.0,Accept,,,,,,,Revise and Resubmit,Accept,,
Other,Other,European Journal for Philosophy of Science,,Faculty (Non-tenure-track position),male,,3.50,Reject,2.0,2.0,4.0,,,,,,Reject,,,,,
Analysis,Analysis,,,Graduate Student,M,,0.25,Reject,,,,,,,,,Reject,,,,,
Other,Other,Thought,,Graduate Student,Male,White,0.90,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Journal of Social Philosophy,Journal of Social Philosophy,,,Faculty (Non-tenure-track position),female,white,9.50,Reject,2.0,2.0,3.0,,,,,,Reject,,,,,
Ethical Theory and Moral Practice,Ethical Theory and Moral Practice,,,Faculty (Non-tenure-track position),female,white,0.50,Reject,1.0,3.0,4.0,,,,,,Reject,,,,,
Acta Analytica,Acta Analytica,,,Faculty (Non-tenure-track position),Male,White,5.00,Reject,1.0,3.0,3.0,,,,,,Reject,,,,,
Oxford Journal of Legal Studies,Oxford Journal of Legal Studies,,,Faculty (Non-tenure-track position),,,4.00,Reject,1.0,1.0,1.0,,,,,,Reject,,,,,
